lj,1,2,3,4,6,8,12,16,20,24,32,40,48,64,80,96,112,128,160,192,224,256,320,384,448,512,768,1024
perf,0.3756266271,0.3756266271,0.3756266271,0.976793777,1,1,1,1,1,1,1,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.9953778486,0.988187542,0.988187542,0.988187542,0.988187542,0.988187542,0.988187542
pokec,1,2,3,4,6,8,12,16,20,24,32,40,48,64,80,96,112,128,160,192,224,256,320,384,448,512,768,1024
perf,0.3735148643,0.3735148643,0.5958131716,0.992166242,0.992166242,0.992166242,0.992166242,0.992166242,1,1,1,1,1,1,1,1,1,1,1,0.9996846484,0.9996846484,0.9996846484,0.9996846484,0.9996846484,0.9996846484,0.9996846484,0.9996846484,0.9996846484
kron18,1,2,3,4,6,8,12,16,20,24,32,40,48,64,80,96,112,128,160,192,224,256,320,384,448,512,768,1024
perf,1,1,1,1,1,1,0.7892037707,0.7892037707,0.7892037707,0.7892037707,0.7892037707,0.7892037707,0.7892037707,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.6366857615,0.5310987941,0.5310987941,0.5310987941,0.5310987941,0.5310987941,0.5310987941
kron20,1,2,3,4,6,8,12,16,20,24,32,40,48,64,80,96,112,128,160,192,224,256,320,384,448,512,768,1024
perf,0.9880285937,0.9880285937,0.9880285937,0.9880285937,0.9880285937,1,0.9097558653,0.9097558653,0.9097558653,0.9097558653,0.9097558653,0.9097558653,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7944077222,0.7005753111,0.7005753111,0.7005753111,0.7005753111,0.7005753111,0.7005753111,0.7005753111
kron22,1,2,3,4,6,8,12,16,20,24,32,40,48,64,80,96,112,128,160,192,224,256,320,384,448,512,768,1024
perf,0.9693761577,1,1,1,0.9225378459,0.9225378459,0.9225378459,0.9225378459,0.9225378459,0.9225378459,0.9225378459,0.9225378459,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.7882975794,0.6878801794,0.6088956976,0.6088956976,0.6088956976,0.5458224566,0.5458224566
